ASV,stat,p-value,adjust pvalue,OA
ASV2905,0.12659787,0.022,0.201255452,Low
ASV2879,0.141648877,0.036,0.273870466,Low
ASV2858,0.282490417,0.001,0.018126543,Low
ASV2801,0.154909901,0.012,0.124515901,Low
ASV2791,0.135832238,0.021,0.196077901,Low
ASV2741,0.165220335,0.002,0.031074074,Low
ASV2600,0.15934424,0.022,0.201255452,Low
ASV2552,0.176146594,0.005,0.060297741,Low
ASV2522,0.197275885,0.002,0.031074074,Low
ASV2498,0.238426773,0.001,0.018126543,Low
ASV24057,0.137412427,0.035,0.267998696,Low
ASV24045,0.150895715,0.005,0.060297741,Low
ASV23998,0.190422559,0.005,0.060297741,Low
ASV23858,0.184803655,0.002,0.031074074,Low
ASV23822,0.286508618,0.001,0.018126543,Low
ASV23815,0.241592253,0.002,0.031074074,Low
ASV23762,0.1512902,0.031,0.245699055,Low
ASV23743,0.15312854,0.022,0.201255452,Low
ASV23600,0.164222466,0.011,0.115983842,Low
ASV23571,0.313682867,0.001,0.018126543,Low
ASV23534,0.19982481,0.006,0.069916667,Low
ASV23494,0.217730971,0.001,0.018126543,Low
ASV23461,0.422070951,0.001,0.018126543,Low
ASV23385,0.131362888,0.023,0.201911809,Low
ASV23361,0.195424711,0.002,0.031074074,Low
ASV23360,0.121580635,0.044,0.320213135,Low
ASV2335,0.160256616,0.007,0.079059615,Low
ASV23317,0.261790494,0.001,0.018126543,Low
ASV23276,0.135803619,0.033,0.25738247,Low
ASV23244,0.161842812,0.026,0.220981187,Low
ASV2310,0.205600871,0.001,0.018126543,Low
ASV23079,0.191004008,0.003,0.041652482,Low
ASV22924,0.216877943,0.001,0.018126543,Low
ASV22874,0.162735699,0.003,0.041652482,Low
ASV22859,0.204366065,0.005,0.060297741,Low
ASV22838,0.228585128,0.001,0.018126543,Low
ASV22801,0.178113268,0.002,0.031074074,Low
ASV22733,0.132493392,0.039,0.290668782,Low
ASV22675,0.166636317,0.017,0.165026446,Low
ASV22641,0.132480744,0.029,0.238205594,Low
ASV22613,0.274464393,0.001,0.018126543,Low
ASV22569,0.371508627,0.001,0.018126543,Low
ASV22520,0.242271548,0.001,0.018126543,Low
ASV22497,0.128562723,0.015,0.150076661,Low
ASV22450,0.167232076,0.009,0.098064935,Low
ASV22429,0.143482265,0.023,0.201911809,Low
ASV22373,0.169358701,0.003,0.041652482,Low
ASV22356,0.186903077,0.003,0.041652482,Low
ASV22351,0.228187668,0.001,0.018126543,Low
ASV22342,0.256565737,0.001,0.018126543,Low
ASV22334,0.128275998,0.041,0.30136796,Low
ASV22276,0.144084179,0.025,0.215285924,Low
ASV22234,0.233033001,0.001,0.018126543,Low
ASV2221,0.249380805,0.001,0.018126543,Low
ASV22119,0.134143261,0.023,0.201911809,Low
