ASV,stat,pvalue,adjust p-value,OA
bASV4340,0.122802293,0.042,0.860356685,High
bASV42969,0.132577343,0.023,0.67547016,High
bASV42762,0.147973313,0.01,0.350886957,High
bASV42610,0.176266897,0.003,0.130730022,High
bASV4158,0.128185413,0.035,0.860356685,High
bASV41330,0.227145717,0.001,0.054091153,High
bASV41244,0.191944798,0.004,0.162056225,High
bASV41236,0.161568886,0.007,0.256319419,High
bASV41187,0.143396836,0.022,0.657588148,High
bASV41172,0.173718625,0.005,0.193627639,High
bASV41020,0.226268298,0.001,0.054091153,High
bASV40493,0.135963664,0.026,0.74832525,High
bASV40196,0.134424988,0.039,0.860356685,High
bASV40171,0.205804349,0.003,0.130730022,High
bASV40097,0.138906936,0.029,0.822931083,High
bASV39984,0.254139088,0.001,0.054091153,High
bASV39874,0.219043197,0.001,0.054091153,High
bASV39737,0.426030884,0.001,0.054091153,High
bASV3970,0.235238854,0.001,0.054091153,High
bASV39398,0.226855817,0.002,0.094280374,High
bASV39380,0.137875386,0.049,0.860356685,High
bASV38957,0.173952872,0.003,0.130730022,High
bASV38662,0.169531571,0.005,0.193627639,High
bASV38618,0.581239899,0.001,0.054091153,High
bASV38183,0.278737331,0.002,0.094280374,High
bASV38043,0.282951077,0.001,0.054091153,High
bASV37750,0.179886599,0.004,0.162056225,High
bASV37687,0.330687077,0.001,0.054091153,High
bASV37524,0.126811095,0.016,0.521512116,High
bASV36864,0.23778764,0.001,0.054091153,High
bASV36599,0.151477277,0.013,0.437146667,High
bASV36590,0.200684057,0.002,0.094280374,High
bASV36323,0.136977842,0.023,0.67547016,High
bASV36290,0.201380608,0.002,0.094280374,High
bASV36253,0.342869204,0.001,0.054091153,High
bASV36234,0.191792339,0.002,0.094280374,High
bASV36177,0.508394805,0.001,0.054091153,High
bASV36054,0.270506362,0.001,0.054091153,High
bASV35455,0.393072019,0.001,0.054091153,High
bASV35353,0.123623212,0.038,0.860356685,High
bASV34960,0.239183921,0.001,0.054091153,High
bASV34644,0.336160948,0.001,0.054091153,High
bASV34469,0.603145246,0.001,0.054091153,High
bASV34464,0.242387768,0.001,0.054091153,High
bASV33602,0.133443261,0.038,0.860356685,High
bASV33596,0.150369487,0.026,0.74832525,High
bASV33394,0.518594094,0.001,0.054091153,High
bASV32865,0.341603172,0.001,0.054091153,High
bASV32308,0.29587547,0.001,0.054091153,High
bASV32041,0.159820497,0.014,0.466112211,High
bASV31852,0.342106144,0.001,0.054091153,High
bASV31709,0.131941786,0.032,0.860356685,High
bASV31080,0.207604535,0.004,0.162056225,High
bASV30907,0.137227132,0.033,0.860356685,High
bASV30081,0.189014835,0.001,0.054091153,High
bASV29765,0.297707161,0.001,0.054091153,High
bASV2905,0.231413339,0.001,0.054091153,High
bASV28929,0.240954098,0.001,0.054091153,High
bASV28382,0.304826016,0.001,0.054091153,High
bASV28302,0.353224466,0.001,0.054091153,High
bASV28154,0.134379829,0.027,0.771603399,High
bASV28098,0.137317351,0.034,0.860356685,High
bASV27901,0.117535235,0.035,0.860356685,High
bASV2782,0.562880538,0.001,0.054091153,High
bASV27010,0.192148841,0.002,0.094280374,High
bASV2693,0.169567829,0.007,0.256319419,High
bASV26915,0.359396414,0.001,0.054091153,High
bASV26649,0.203351817,0.003,0.130730022,High
bASV26036,0.1441464,0.021,0.640024169,High
bASV25500,0.592858148,0.001,0.054091153,High
bASV2543,0.360613325,0.001,0.054091153,High
bASV25263,0.194249827,0.002,0.094280374,High
bASV24566,0.189601511,0.001,0.054091153,High
bASV24562,0.165470605,0.012,0.406910924,High
bASV2438,0.24000446,0.001,0.054091153,High
bASV24327,0.428878404,0.001,0.054091153,High
bASV23115,0.462958054,0.001,0.054091153,High
bASV2299,0.13564567,0.023,0.67547016,High
bASV22926,0.136619266,0.015,0.492097561,High
bASV226,0.453513473,0.001,0.054091153,High
bASV22520,0.141382089,0.019,0.591580247,High
bASV22426,0.353008686,0.001,0.054091153,High
bASV21834,0.215002349,0.001,0.054091153,High
bASV21744,0.158059201,0.007,0.256319419,High
bASV21729,0.1601155,0.003,0.130730022,High
bASV21477,0.172838422,0.003,0.130730022,High
bASV21271,0.185371277,0.004,0.162056225,High
bASV21246,0.141345111,0.02,0.618895706,High
bASV20994,0.183459104,0.005,0.193627639,High
bASV20871,0.217129334,0.002,0.094280374,High
bASV20669,0.19638167,0.001,0.054091153,High
bASV20352,0.383723503,0.001,0.054091153,High
bASV20343,0.195978145,0.001,0.054091153,High
bASV20149,0.284566604,0.001,0.054091153,High
bASV2007,0.148305102,0.014,0.466112211,High
bASV20058,0.33676566,0.001,0.054091153,High
bASV19985,0.538494846,0.001,0.054091153,High
bASV19914,0.154743807,0.022,0.657588148,High
bASV19895,0.209491927,0.001,0.054091153,High
bASV19774,0.208666713,0.002,0.094280374,High
bASV19485,0.248577813,0.001,0.054091153,High
bASV19466,0.198021995,0.003,0.130730022,High
bASV19343,0.340239406,0.001,0.054091153,High
bASV19063,0.207031237,0.002,0.094280374,High
bASV18949,0.190177481,0.002,0.094280374,High
bASV1863,0.388724538,0.001,0.054091153,High
bASV18527,0.218112182,0.001,0.054091153,High
bASV18466,0.242446696,0.001,0.054091153,High
bASV18235,0.179984604,0.002,0.094280374,High
bASV18017,0.205612025,0.001,0.054091153,High
bASV17683,0.218247363,0.001,0.054091153,High
bASV17474,0.134120957,0.002,0.094280374,High
bASV17378,0.292145469,0.001,0.054091153,High
bASV17183,0.235712531,0.001,0.054091153,High
bASV17058,0.15911005,0.011,0.378085179,High
bASV16816,0.224424352,0.001,0.054091153,High
bASV16666,0.147972365,0.012,0.406910924,High
bASV16332,0.404276534,0.001,0.054091153,High
bASV16174,0.44137036,0.001,0.054091153,High
bASV16090,0.201724321,0.002,0.094280374,High
bASV15938,0.123694331,0.036,0.860356685,High
bASV15828,0.314014133,0.001,0.054091153,High
bASV15709,0.267439301,0.001,0.054091153,High
bASV15554,0.268195488,0.001,0.054091153,High
bASV15407,0.548135133,0.001,0.054091153,High
bASV1536,0.157760745,0.01,0.350886957,High
bASV15176,0.160573574,0.008,0.288228571,High
bASV15050,0.178028139,0.004,0.162056225,High
bASV14960,0.206041928,0.005,0.193627639,High
bASV14844,0.490094807,0.001,0.054091153,High
bASV14749,0.272417645,0.001,0.054091153,High
bASV14688,0.2604185,0.001,0.054091153,High
bASV146,0.223827955,0.001,0.054091153,High
bASV14209,0.140877366,0.03,0.846545455,High
bASV13983,0.224527388,0.001,0.054091153,High
bASV13929,0.135250445,0.029,0.822931083,High
bASV13884,0.386656503,0.001,0.054091153,High
bASV13883,0.141248505,0.042,0.860356685,High
bASV13864,0.243836028,0.001,0.054091153,High
bASV13753,0.222442146,0.001,0.054091153,High
bASV13680,0.19643716,0.001,0.054091153,High
bASV13506,0.12487324,0.018,0.56745,High
bASV13201,0.163116819,0.009,0.318568421,High
bASV12796,0.273699874,0.001,0.054091153,High
bASV12615,0.132936643,0.025,0.721602289,High
bASV12106,0.255113919,0.001,0.054091153,High
bASV12056,0.221721438,0.001,0.054091153,High
bASV11961,0.373249986,0.001,0.054091153,High
bASV11953,0.134544622,0.019,0.591580247,High
bASV11840,0.13726166,0.014,0.466112211,High
bASV11769,0.232326098,0.001,0.054091153,High
bASV11219,0.155888978,0.009,0.318568421,High
bASV10947,0.206538459,0.001,0.054091153,High
bASV10922,0.221519779,0.001,0.054091153,High
bASV10546,0.225338454,0.001,0.054091153,High
bASV10486,0.424529201,0.001,0.054091153,High
