ASV,stat,pvalue,OA
bASV56004,0.549,0.001,Low
bASV55335,0.377,0.001,Low
bASV55128,0.258,0.001,Low
bASV54990,0.225,0.001,Low
bASV54751,0.145,0.001,Low
bASV54663,0.271,0.001,Low
bASV5450,0.21,0.001,Low
bASV54055,0.2,0.001,Low
bASV53899,0.157,0.001,Low
bASV53828,0.238,0.001,Low
bASV53814,0.174,0.001,Low
bASV53790,0.18,0.001,Low
bASV53165,0.221,0.001,Low
bASV52762,0.3,0.001,Low
bASV52753,0.184,0.001,Low
bASV52347,0.25,0.001,Low
bASV52151,0.226,0.001,Low
bASV51640,0.408,0.001,Low
bASV51620,0.328,0.001,Low
bASV51514,0.19,0.001,Low
bASV5090,0.404,0.001,Low
bASV50435,0.406,0.001,Low
bASV50126,0.174,0.001,Low
bASV49903,0.3,0.001,Low
bASV49769,0.275,0.001,Low
bASV49524,0.39,0.001,Low
bASV49480,0.235,0.001,Low
bASV49082,0.283,0.001,Low
bASV48611,0.17,0.001,Low
bASV48434,0.182,0.001,Low
bASV48128,0.215,0.001,Low
bASV4784,0.167,0.001,Low
bASV47397,0.35,0.001,Low
bASV47158,0.375,0.001,Low
bASV46867,0.437,0.001,Low
bASV46499,0.201,0.001,Low
bASV46497,0.17,0.001,Low
bASV46293,0.287,0.001,Low
bASV4625,0.231,0.001,Low
bASV4620,0.212,0.001,Low
bASV46176,0.169,0.001,Low
bASV46066,0.223,0.001,Low
bASV45972,0.25,0.001,Low
bASV45475,0.316,0.001,Low
bASV45412,0.179,0.001,Low
bASV45399,0.29,0.001,Low
bASV45052,0.277,0.001,Low
bASV44319,0.372,0.001,Low
bASV44115,0.276,0.001,Low
bASV44046,0.284,0.001,Low
bASV43883,0.258,0.001,Low
bASV43596,0.193,0.001,Low
bASV43295,0.219,0.001,Low
bASV43230,0.182,0.001,Low
bASV42763,0.399,0.001,Low
bASV42445,0.241,0.001,Low
bASV41931,0.19,0.001,Low
bASV41784,0.157,0.001,Low
bASV41541,0.167,0.001,Low
bASV40921,0.244,0.001,Low
bASV40348,0.283,0.001,Low
bASV40299,0.286,0.001,Low
bASV402,0.263,0.001,Low
bASV39699,0.142,0.001,Low
bASV39694,0.564,0.001,Low
bASV39643,0.239,0.001,Low
bASV39342,0.229,0.001,Low
bASV39070,0.281,0.001,Low
bASV38839,0.346,0.001,Low
bASV38721,0.214,0.001,Low
bASV38494,0.297,0.001,Low
bASV3834,0.26,0.001,Low
bASV3819,0.403,0.001,Low
bASV37879,0.192,0.001,Low
bASV37663,0.435,0.001,Low
bASV3765,0.356,0.001,Low
bASV37232,0.194,0.001,Low
bASV36684,0.318,0.001,Low
bASV36425,0.261,0.001,Low
bASV3636,0.266,0.001,Low
bASV36268,0.201,0.001,Low
bASV35759,0.295,0.001,Low
bASV35656,0.432,0.001,Low
bASV35563,0.211,0.001,Low
bASV35394,0.175,0.001,Low
bASV35145,0.17,0.001,Low
bASV34216,0.224,0.001,Low
bASV3421,0.19,0.001,Low
bASV34171,0.362,0.001,Low
bASV33634,0.325,0.001,Low
bASV332,0.177,0.001,Low
bASV330,0.371,0.001,Low
bASV32840,0.218,0.001,Low
bASV32420,0.381,0.001,Low
bASV32264,0.214,0.001,Low
bASV31888,0.219,0.001,Low
bASV31808,0.229,0.001,Low
bASV3165,0.171,0.001,Low
bASV31646,0.297,0.001,Low
bASV31294,0.223,0.001,Low
bASV31211,0.171,0.001,Low
bASV3110,0.17,0.001,Low
bASV30649,0.231,0.001,Low
bASV30532,0.176,0.001,Low
bASV30059,0.186,0.001,Low
bASV29416,0.217,0.001,Low
bASV29115,0.205,0.001,Low
bASV29109,0.318,0.001,Low
bASV29048,0.387,0.001,Low
bASV28971,0.189,0.001,Low
bASV28962,0.223,0.001,Low
bASV2859,0.23,0.001,Low
bASV27877,0.229,0.001,Low
bASV27304,0.219,0.001,Low
bASV26955,0.527,0.001,Low
bASV26713,0.249,0.001,Low
bASV26478,0.317,0.001,Low
bASV26432,0.207,0.001,Low
bASV2601,0.204,0.001,Low
bASV25598,0.229,0.001,Low
bASV25222,0.186,0.001,Low
bASV24940,0.18,0.001,Low
bASV24936,0.164,0.001,Low
bASV24935,0.174,0.001,Low
bASV24509,0.215,0.001,Low
bASV24507,0.299,0.001,Low
bASV24243,0.257,0.001,Low
bASV2395,0.202,0.001,Low
bASV23523,0.293,0.001,Low
bASV2342,0.263,0.001,Low
bASV23412,0.252,0.001,Low
bASV23197,0.449,0.001,Low
bASV23139,0.227,0.001,Low
bASV23092,0.214,0.001,Low
bASV22910,0.385,0.001,Low
bASV22562,0.201,0.001,Low
bASV22405,0.214,0.001,Low
bASV21774,0.195,0.001,Low
bASV21661,0.296,0.001,Low
bASV20840,0.337,0.001,Low
bASV20831,0.462,0.001,Low
bASV20135,0.2,0.001,Low
bASV20119,0.249,0.001,Low
bASV19797,0.169,0.001,Low
bASV1966,0.189,0.001,Low
bASV19020,0.335,0.001,Low
bASV18705,0.277,0.001,Low
bASV18000,0.282,0.001,Low
bASV17801,0.183,0.001,Low
bASV17751,0.204,0.001,Low
bASV17698,0.238,0.001,Low
bASV17673,0.254,0.001,Low
bASV17653,0.243,0.001,Low
bASV16329,0.218,0.001,Low
bASV15747,0.409,0.001,Low
bASV15659,0.234,0.001,Low
bASV15126,0.178,0.001,Low
bASV14991,0.259,0.001,Low
bASV14662,0.238,0.001,Low
bASV1428,0.201,0.001,Low
bASV14089,0.19,0.001,Low
bASV13968,0.201,0.001,Low
bASV13452,0.222,0.001,Low
bASV13379,0.252,0.001,Low
bASV12942,0.223,0.001,Low
bASV12780,0.224,0.001,Low
bASV12618,0.174,0.001,Low
bASV11555,0.246,0.001,Low
bASV11147,0.19,0.001,Low
bASV11009,0.268,0.001,Low
bASV10768,0.206,0.001,Low
bASV10014,0.173,0.001,Low
