Latitude	Longitude	Depth	temp	salinity	oxygen	nitrate	nh4	dic	pH_corrected	phosphate	log_temp	log_salinity	log_phosphate	log_nh4	log_nitrate
deg	deg	m	abund	abund	abund	abund	abund	abund	abund	abund	abund	abund	abund	abund	abund
19.609	-93.5	1	29.283	34.766	193.7	0.003905705	0.149393219	2005.519518	NA	0.038080625	3.37734858	3.548927494	-3.03487599	-1.836381054	-4.275456091
19.17	-93.299	1	29.346	35.268	194.2	0	0.107350488	2033.287242	8.04	0.04977159	3.379496955	3.56325954	-2.817224815	-2.142590198	-4.605170186
18.836	-93.066	1	29.27	33.063	200.5	0	0.176958149	2031.069389	8.037	0.067459184	3.376904689	3.49871724	-2.558004139	-1.676870489	-4.605170186
22	-92.917	1	30.4368	36.158	192.9	0.102444645	0.707355882	NA	NA	NA	3.415980898	3.58817475	NA	-0.332183213	-2.185294223
21.733	-92.318	1	29.803	36.546	193.4	0	0.214561776	2056.252492	NA	0.026332582	3.39494454	3.598845331	-3.315040365	-1.493604438	-4.605170186
21.45	-91.567	1	29.486	36.546	193.7	0	0.194081066	2059.545128	8.028	0.048764087	3.384254661	3.598845331	-2.834224376	-1.589237982	-4.605170186
21.167	-90.768	1	29.383	36.597	192.8	0	0.24576134	2078.282412	7.986	0.049737414	3.380756551	3.600239479	-2.817796755	-1.363510535	-4.605170186
21.701	-89.667	1	29.487	36.5	198.9	0	0.233101012	2065.591456	8.004	0.023407633	3.384288563	3.597586196	-3.398970872	-1.414278235	-4.605170186
22.272	-90.043	1	29.767	36.313	194.6	0.020480654	0.186276428	2047.076946	8.026	0.031208616	3.393736283	3.592451149	-3.189107918	-1.628231266	-3.490663092
22.659	-90.288	1	29.539	36.224	193.2	0.013654694	0.226277786	2052.597961	8.033	0.010728688	3.386049902	3.589997905	-3.876236644	-1.442747107	-3.744193706
22.971	-90.499	1	29.599	36.223	196.2	0	0.236998815	2044.937843	8.042	0.030234417	3.388078369	3.589970306	-3.213032505	-1.39837174	-4.605170186
23.183	-90.642	1	29.914	NA	192.6	0	0.242877498	2045.670619	NA	0.036090231	3.398660834	NA	-3.07715426	-1.374850105	-4.605170186
21.927	-88	1	29.218	36.389	195.1	0	0.211584657	2049.882909	8.028	0.031201424	3.375127154	3.594541302	-3.18928246	-1.506950564	-4.605170186
22.542	-88	1	28.922	36.232	193.5	0	0.211609642	2043.41674	8.031	0.033155428	3.364948249	3.590218667	-3.142947076	-1.506837814	-4.605170186
23.156	-88.001	1	29.707	36.08	192.5	0.017554813	0.269173804	2042.13296	8.044	0.025356953	3.391719273	3.586015819	-3.342260216	-1.275920738	-3.591578058
23.769	-88.001	1	29.498	36.032	188.7	0	0.237016858	2039.177587	8.052	0.012679914	3.384661413	3.584684925	-3.786275592	-1.398298694	-4.605170186
24.386	-88.002	1	29.312	36.169	193.1	0	0.289656824	2025.236173	8.025	0.032184092	3.378338088	3.58847884	-3.165712096	-1.205117379	-4.605170186
